"","Code","Continent, Region, Country","century","decade","year","heights.cm","year_decade","height.in"
"271",620,"Portugal","19","3","0",165.57,"1930",65.1850393700787
"272",620,"Portugal","19","4","0",166.385,"1940",65.505905511811
"273",620,"Portugal","19","5","0",167.41,"1950",65.9094488188976
"274",620,"Portugal","19","6","0",169.24,"1960",66.6299212598425
"275",620,"Portugal","19","7","0",171.38,"1970",67.4724409448819
"276",620,"Portugal","19","8","0",172.13,"1980",67.7677165354331
"277",688,"Serbia","18","5","0",166.2,"1850",65.4330708661417
"278",688,"Serbia","18","7","0",169.7,"1870",66.8110236220472
"279",688,"Serbia","18","8","0",167.1,"1880",65.7874015748031
"280",688,"Serbia","18","9","0",168.1,"1890",66.1811023622047
"281",688,"Serbia","19","6","0",175.8,"1960",69.2125984251969
"282",891,"Serbia and Montenegro (until 2006)","18","5","0",166.2,"1850",65.4330708661417
"283",891,"Serbia and Montenegro (until 2006)","18","7","0",169.7,"1870",66.8110236220472
"284",891,"Serbia and Montenegro (until 2006)","18","8","0",167.1,"1880",65.7874015748031
"285",891,"Serbia and Montenegro (until 2006)","18","9","0",168.1,"1890",66.1811023622047
"286",891,"Serbia and Montenegro (until 2006)","19","6","0",175.8,"1960",69.2125984251969
"287",705,"Slovenia","18","7","0",168.3,"1870",66.259842519685
"288",705,"Slovenia","19","2","0",173.7,"1920",68.3858267716535
"289",705,"Slovenia","19","5","0",175.8,"1950",69.2125984251969
"290",705,"Slovenia","19","7","0",179.2,"1970",70.5511811023622
"291",724,"Spain","18","3","0",161,"1830",63.3858267716535
"292",724,"Spain","18","4","0",163.7,"1840",64.4488188976378
"293",724,"Spain","18","5","0",162.5,"1850",63.9763779527559
"294",724,"Spain","18","6","0",162.7,"1860",64.0551181102362
"295",724,"Spain","18","7","0",162.6,"1870",64.0157480314961
"296",724,"Spain","18","8","0",163.9,"1880",64.5275590551181
"297",724,"Spain","18","9","0",164,"1890",64.5669291338583
"298",724,"Spain","19","0","0",164.6,"1900",64.8031496062992
"299",724,"Spain","19","1","0",165.1,"1910",65
"300",724,"Spain","19","2","0",165.6,"1920",65.1968503937008
"301",724,"Spain","19","3","0",165.2,"1930",65.0393700787401
"302",724,"Spain","19","4","0",166.3,"1940",65.4724409448819
"303",724,"Spain","19","5","0",170.8,"1950",67.244094488189
"304",724,"Spain","19","6","0",174.2,"1960",68.5826771653543
"305",724,"Spain","19","7","0",175.2,"1970",68.9763779527559
"306",724,"Spain","19","8","0",175.6,"1980",69.1338582677165
"307",807,"The former Yugoslav Republic of Macedonia","19","0","0",167.669,"1900",66.0114173228346
"308",807,"The former Yugoslav Republic of Macedonia","19","1","0",168.4,"1910",66.2992125984252
"309",807,"The former Yugoslav Republic of Macedonia","19","2","0",169.6,"1920",66.7716535433071
"310",807,"The former Yugoslav Republic of Macedonia","19","3","0",168.8,"1930",66.4566929133858
"311",112,"Belarus","18","4","0",163.9,"1840",64.5275590551181
"312",112,"Belarus","19","0","0",166.5,"1900",65.5511811023622
"313",112,"Belarus","19","8","0",176.4,"1980",69.4488188976378
"314",100,"Bulgaria","18","8","0",167.6,"1880",65.9842519685039
"315",100,"Bulgaria","19","3","0",171.7,"1930",67.5984251968504
"316",100,"Bulgaria","19","4","0",171.3,"1940",67.4409448818898
"317",100,"Bulgaria","19","5","0",172.9,"1950",68.0708661417323
"318",203,"Czech Republic","18","1","0",164,"1810",64.5669291338583
"319",203,"Czech Republic","18","2","0",163,"1820",64.1732283464567
"320",203,"Czech Republic","18","3","0",163.5,"1830",64.3700787401575
"321",203,"Czech Republic","18","4","0",164.8,"1840",64.8818897637795
"322",203,"Czech Republic","18","5","0",165.5,"1850",65.1574803149606
"323",203,"Czech Republic","18","6","0",166,"1860",65.3543307086614
"324",203,"Czech Republic","18","7","0",167,"1870",65.748031496063
"325",203,"Czech Republic","18","8","0",167.6,"1880",65.9842519685039
"326",203,"Czech Republic","18","9","0",169.783,"1890",66.8437007874016
"327",203,"Czech Republic","19","0","0",170.7,"1900",67.2047244094488
"328",203,"Czech Republic","19","1","0",170.8,"1910",67.244094488189
"329",203,"Czech Republic","19","2","0",173.3,"1920",68.2283464566929
"330",203,"Czech Republic","19","3","0",175.7,"1930",69.1732283464567
"331",203,"Czech Republic","19","4","0",176.8,"1940",69.6062992125984
"332",203,"Czech Republic","19","5","0",177.7,"1950",69.9606299212598
"333",203,"Czech Republic","19","7","0",178.7,"1970",70.3543307086614
"334",200,"Czechoslovakia (until 1993)","18","5","0",166.2,"1850",65.4330708661417
"335",200,"Czechoslovakia (until 1993)","18","7","0",169.7,"1870",66.8110236220472
"336",200,"Czechoslovakia (until 1993)","18","8","0",167.1,"1880",65.7874015748031
"337",200,"Czechoslovakia (until 1993)","18","9","0",168.1,"1890",66.1811023622047
"338",200,"Czechoslovakia (until 1993)","19","6","0",175.8,"1960",69.2125984251969
"339",348,"Hungary","18","1","0",164.7,"1810",64.8425196850394
"340",348,"Hungary","18","2","0",164.3,"1820",64.6850393700787
"341",348,"Hungary","18","3","0",164.1,"1830",64.6062992125984
"342",348,"Hungary","18","4","0",164,"1840",64.5669291338583
"343",348,"Hungary","18","5","0",163.7,"1850",64.4488188976378
"344",348,"Hungary","18","6","0",165.3,"1860",65.0787401574803
"345",348,"Hungary","18","7","0",166.388,"1870",65.5070866141732
"346",348,"Hungary","18","8","0",169.1,"1880",66.5748031496063
"347",348,"Hungary","19","5","0",175.4,"1950",69.0551181102362
"348",348,"Hungary","19","6","0",178.2,"1960",70.1574803149606
"349",348,"Hungary","19","7","0",178.8,"1970",70.3937007874016
"350",616,"Poland","18","4","0",163.1,"1840",64.2125984251968
"351",616,"Poland","18","6","0",165.5,"1860",65.1574803149606
"352",616,"Poland","18","7","0",166.3,"1870",65.4724409448819
"353",616,"Poland","18","8","0",166.8,"1880",65.6692913385827
"354",616,"Poland","18","9","0",167.2,"1890",65.8267716535433
"355",616,"Poland","19","0","0",166.568,"1900",65.5779527559055
"356",616,"Poland","19","1","0",169,"1910",66.5354330708661
"357",616,"Poland","19","3","0",173,"1930",68.1102362204724
"358",616,"Poland","19","4","0",170.5,"1940",67.1259842519685
"359",616,"Poland","19","5","0",173.2,"1950",68.1889763779528
"360",616,"Poland","19","6","0",175.3,"1960",69.0157480314961
"361",616,"Poland","19","8","0",177.4,"1980",69.8425196850394
"362",498,"Republic of Moldova","18","4","0",165.1,"1840",65
"363",498,"Republic of Moldova","19","5","0",172.007,"1950",67.7192913385827
"364",498,"Republic of Moldova","19","6","0",172.813,"1960",68.0366141732283
"365",498,"Republic of Moldova","19","7","0",173.535,"1970",68.3208661417323
"366",498,"Republic of Moldova","19","8","0",174.225,"1980",68.5925196850394
"367",642,"Romania","18","4","0",164,"1840",64.5669291338583
"368",642,"Romania","18","5","0",163.4,"1850",64.3307086614173
"369",642,"Romania","18","6","0",164.1,"1860",64.6062992125984
"370",642,"Romania","18","7","0",165.367,"1870",65.1051181102362
"371",642,"Romania","18","8","0",164.1,"1880",64.6062992125984
"372",642,"Romania","19","0","0",168.289,"1900",66.2555118110236
"373",642,"Romania","19","4","0",169.253,"1940",66.6350393700787
"374",643,"Russian Federation","18","1","0",159.8,"1810",62.9133858267717
"375",643,"Russian Federation","18","2","0",162.1,"1820",63.8188976377953
"376",643,"Russian Federation","18","3","0",163,"1830",64.1732283464567
"377",643,"Russian Federation","18","4","0",164.2,"1840",64.6456692913386
"378",643,"Russian Federation","18","5","0",163.4,"1850",64.3307086614173
"379",643,"Russian Federation","18","6","0",163.3,"1860",64.2913385826772
"380",643,"Russian Federation","18","7","0",165.8,"1870",65.2755905511811
"381",643,"Russian Federation","18","8","0",166.6,"1880",65.5905511811024
"382",643,"Russian Federation","18","9","0",168.3,"1890",66.259842519685
"383",643,"Russian Federation","19","0","0",169.2,"1900",66.6141732283464
"384",643,"Russian Federation","19","1","0",169.1,"1910",66.5748031496063
"385",643,"Russian Federation","19","2","0",167,"1920",65.748031496063
"386",643,"Russian Federation","19","3","0",167.9,"1930",66.1023622047244
"387",643,"Russian Federation","19","4","0",169,"1940",66.5354330708661
"388",643,"Russian Federation","19","5","0",172,"1950",67.7165354330709
"389",643,"Russian Federation","19","6","0",173.6,"1960",68.3464566929134
"390",643,"Russian Federation","19","7","0",177,"1970",69.6850393700787
"391",643,"Russian Federation","19","8","0",177,"1980",69.6850393700787
"392",703,"Slovakia","18","5","0",164.1,"1850",64.6062992125984
"393",703,"Slovakia","18","6","0",163.5,"1860",64.3700787401575
"394",703,"Slovakia","18","7","0",165.1,"1870",65
"395",703,"Slovakia","18","8","0",165.8,"1880",65.2755905511811
"396",703,"Slovakia","19","2","0",171.7,"1920",67.5984251968504
"397",703,"Slovakia","19","3","0",173.3,"1930",68.2283464566929
"398",703,"Slovakia","19","4","0",172.8,"1940",68.0314960629921
"399",804,"Ukraine","18","2","0",164.1,"1820",64.6062992125984
"400",804,"Ukraine","18","3","0",164.8,"1830",64.8818897637795
"401",804,"Ukraine","18","4","0",164.1,"1840",64.6062992125984
"402",804,"Ukraine","18","5","0",163.1,"1850",64.2125984251968
"403",804,"Ukraine","18","7","0",164.6,"1870",64.8031496062992
